,Total,DS 15 Miler,Heart 10 Miler,Colonial Half,Queens Lake 5K,Yorktown 10K,DOG 5K,ERR 10K,Freedom 8K,Scholarship 5K,Strider Mile,Strider 10 Miler,Jamestown 10K,XC Classic 5K,Yorktown 10 Miler,Piankatank 5K,Gov's Land 5K,Haiti 5K
Karen Schenck,0,,,,P,P,P,P,,,,,,,,,,
Lori Sherwood,0,,P,,P,,P,P,P,P,,P,,P,,,,
Susan Snead,0,,,,,,,P,,P,,,,,,,,
Debra Sommer,0,,,,,,,P,,P,,,,P,,,,
Jennifer St. Martin,0,,,,,,,P,,,,,,,,,,
Shirley Stephens,8,,,,P,P,P,P,P,,,,P,,,8,P,P
Patricia Travis,0,,P,P,P,P,P,P,P,,,,P,,P,,P,P
Elise Walton,0,,,,P,,,P,,P,,P,,P,,,,
Helen Worthington,20,,P,,P,,P,P,10,,,,P,,P,10,,P
,,,,,,,,,,,,,,,,,,
Age Groups:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Men 19 and under,Total,DS 15 Miler,Heart 10 Miler,Colonial Half,Queens Lake 5K,Yorktown 10K,DOG 5K,ERR 10K,Freedom 8K,Scholarship 5K,Strider Mile,Strider 10 Miler,Jamestown 10K,XC Classic 5K,Yorktown 10 Miler,Piankatank 5K,Gov's Land 5K,Haiti 5K
Magnus Chiles,54,20,12,10,12,,,,,,,,,,,,,
Glenn Glass,55,,20,15,,20,,,,,,,,,,,,
Paul Glass,,,,,,,,,,,,,,,,,,
Isaac Lamprecht,75,,,,20,15,20,,,,,,,,,,20,
Braxton Lee,214,,15,12,15,12,,20,20,20,20,20,,,20,20,,20
Bryton Lee,105,,,,10,,,,15,15,15,,,20,,15,,15
Lorenzo Short,35,,,20,,,15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Men 20-24,,,,,,,,,,,,,,,,,,
John Chiles,70,,20,20,15,,,15,,,,,,,,,,
Evan Clary,100,,,,20,20,20,20,,,,,20,,,,,
John Walker,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Men 25-29,,,,,,,,,,,,,,,,,,
Dillon Britt,20,,,,,,,20,,,,,,,,,,
Seth Kolosso,20,20,,,,,,,,,,,,,,,,
Logan St. John,40,,,,20,,,,,20,,,,,,,,
,,,,,,,,,,,,,,,,,,
Men 30-34,,,,,,,,,,,,,,,,,,
Kyle Carlson,32,,,,,,,12,,,,20,,,,,,
Daniel Cunnane,12,,,,,,,,,12,,,,,,,,
Roger Hopper,200,20,20,20,,20,20,20,20,20,,,20,,,,20,
Benjamin Kaurich,75,,,15,12,12,12,,,,,,12,,,,12,
Peter Mercredi,,,,,,,,,,,,,,,,,,
Frank Nixon,53,,10,,10,,10,8,15,,,,,,,,,
Jordan Spector,42,,12,,15,,,,,,,15,,,,,,
Dean Stover,57,,,,,,,10,,15,20,12,,,,,,
Jonathan Torres,165,,15,15,20,15,15,15,,,,,15,,20,,15,20
,,,,,,,,,,,,,,,,,,
Men 35-39,Total,DS 15 Miler,Heart 10 Miler,Colonial Half,Queens Lake 5K,Yorktown 10K,DOG 5K,ERR 10K,Freedom 8K,Scholarship 5K,Strider Mile,Strider 10 Miler,Jamestown 10K,XC Classic 5K,Yorktown 10 Miler,Piankatank 5K,Gov's Land 5K,Haiti 5K
Forest Braden,20,,,,,,,,,,,,,,20,,,
Christopher Davis,57,,15,,12,,15,15,,,,,,,,,,
Ryan Doupe,20,,,,,20,,,,,,,,,,,,
Chris Free,32,,,,,,,,,,,12,,20,,,,
Adam Kenyon,110,,20,,,,,,15,20,20,,,,,20,15,
Frank Leone,,,,,,,,,,,,,,,,,,
Chris Novakoski,172,20,,20,,,,20,12,15,15,20,,15,,15,,20
Adam Otstot,80,,,,20,,20,,20,,,,,,,,20,
Alexey Popov,150,,,,,15,12,,10,12,12,15,20,12,15,,12,15
Daniel Shean,15,,,,15,,,,,,,,,,,,,
Michael Stallings,24,,12,,,,,12,,,,,,,,,,
Jonathan Thornberry,10,,,,,,,,,10,,,,,,,,
,,,,,,,,,,,,,,,,,,
Men 40-44,,,,,,,,,,,,,,,,,,
Jason Miller,110,,20,20,,,15,20,,,,,20,,,,15,
Andy Riley,60,,,,20,,20,,,,,,,,,,20,
Brook Sherman,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Men 45-49,,,,,,,,,,,,,,,,,,
Andrea Buoso,144,20,15,15,15,,,12,,,,15,,20,12,,,20
Scott Fredrick,0,,,,,,,P,,,,,,,,,,
David Glass,16,,8,8,,,,,,,,,,,,,,
Charles Inman,20,,,,,,,,,,,20,,,,,,
Avinash Kelley,40,,10,10,,,,8,,12,,,,,,,,
Chris Laws,109,,12,12,,,15,20,15,,,,,,20,,15,
Greg Lynn,225,,20,20,20,20,20,10,20,20,,,20,,15,20,20,
Grant Neely,10,,,,,,,,,,,10,,,,,,
Brett Riley,72,15,,,,,,15,,15,,12,,15,,,,
Steven Short,36,,,,12,,12,,,,,,,,,,12,
Winston Trice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Men 50-54,Total,DS 15 Miler,Heart 10 Miler,Colonial Half,Queens Lake 5K,Yorktown 10K,DOG 5K,ERR 10K,Freedom 8K,Scholarship 5K,Strider Mile,Strider 10 Miler,Jamestown 10K,XC Classic 5K,Yorktown 10 Miler,Piankatank 5K,Gov's Land 5K,Haiti 5K
David Anderson,135,,,20,15,15,15,20,,,,,15,,20,,15,
Leif Berner,30,,,12,,,,8,,,,10,,,,,,
Joe Calkins,115,,,15,20,20,20,,,,,,20,,,,20,
Brian Chiles,18,10,P,,8,,,,,,,,,,,,,
Thomas Hicks,60,20,,,,,,,,,20,20,,,,,,
George Knierbein,,,,,,,,,,,,,,,,,,
David Lockard,15,,,,,,,,,,,,,,,,,15
James Martin,15,,,,,,,,,15,,,,,,,,
Kevin Rafferty,117,,,,12,,,15,,20,15,15,,20,,,,20
John Searing,0,,,,,,,P,,,,,,,,,,
Gregg Weber,84,12,20,,,10,,10,,,10,,10,12,,,,
Matthew Zentz,159 (169),15,15,10,10,12,12,12,20,12,12,12,12,15,,,,
,,,,,,,,,,,,,,,,,,
Men 55-59,,,,,,,,,,,,,,,,,,
Joe Buck,159,15,15,15,,15,10,8,12,12,15,15,15,12,,,,
Greg Dawson,27,,,,15,,,,,,,,,,,,12,
Robert Jean,71,,,,12,12,12,10,15,,,,,,,,10,
Steven Kast,100,,,,20,,20,,,,,,,,,20,20,20
Ken Kieft,47,,,,,,,12,,,,20,,15,,,,
Jon Leiding,215,20,20,20,,20,15,20,20,20,20,,,20,20,,,
John Markley,131 (139),,12,,10,10,8,P,10,10,12,12,10,10,,12,8,15
Paul Pelletier,65,,,,,,,15,,,,,20,,,15,15,
Steven Peters,27,,,,,,,P,,15,,,12,,,,,
,,,,,,,,,,,,,,,,,,
Men 60-64,,,,,,,,,,,,,,,,,,
Ken Alberg,15,,,,15,,,,,,,,,,,,,
Bob Brunner,,,,,,,,,,,,,,,,,,
Tony Heimer,155 (187),20,12,20,10,12,12,10,12,8,8,12,10,8,15,8,,10
Timothy Hodge,183 (213),,8,,12,15,15,15,20,20,20,10,12,12,12,12,15,15
Wayne Phelps,77,,P,,,,,,,12,15,20,,15,,15,,
Bill Price,142 (150),,10,15,8,10,10,12,15,10,10,15,15,10,,10,,
Dwight Starks,32,,P,,P,8,8,8,,P,,,8,P,,P,,
John Tarley,,,,,,,,,,,,,,,,,,
Alan Van Zandt,,,,,,,,,,,,,,,,,,
Rick Webb,18,,,,P,,,,10,,,,,,,P,,8
Tim Westfall,54,,15,,,,,,,15,12,,,,,,,12
Robert Whitaker,220,,20,,20,20,20,20,,,,,20,20,20,20,20,20
,,,,,,,,,,,,,,,,,,
Men 65-69,Total,DS 15 Miler,Heart 10 Miler,Colonial Half,Queens Lake 5K,Yorktown 10K,DOG 5K,ERR 10K,Freedom 8K,Scholarship 5K,Strider Mile,Strider 10 Miler,Jamestown 10K,XC Classic 5K,Yorktown 10 Miler,Piankatank 5K,Gov's Land 5K,Haiti 5K
Gene Bachman,8,,,,,,,8,,,,,,,,,,
Jess Brown,134,12,15,12,P,8,,P,10,10,8,12,12,8,,12,,15
Stephen Chantry,120,,,,20,20,20,20,20,,,,,,,,20,
Robert Curtin,60,,,,P,P,8,P,8,P,,,10,P,12,10,,12
Jim Duffy,191 (203),15,20,15,12,12,12,12,15,15,20,20,20,15,,,,
Ed Elmore,10,,,,10,,,,,,,,,,,,,
Richard Grant,210 (222),20,,20,15,15,15,15,,20,12,15,15,20,20,20,,
Jim Gullo,114,,,10,8,10,,P,12,12,15,,,,,15,12,20
Dwight Kane,18,,,,,,10,P,,P,,8,,,,,,
William Murray,30,,,,,,,,,,,,,,15,,15,
John Price,0,,,,,,,P,,P,P,,,,,,,
Tom Randolph,10,,,,,,,10,,,,,,,,,,
Robert Rantanen,10,,,,,,,P,,P,,,,10,,,,
Steven Shapiro,10,,,,,,,P,,P,,10,,,,,,
John Wills,42,,12,,,,,P,,8,10,,,12,,,,
,,,,,,,,,,,,,,,,,,
Men 70 and over,,,,,,,,,,,,,,,,,,
Dale Abrahamson,180,,20,,20,20,20,,20,,,,,20,,20,20,20
Larry Arata,20,,,,P,P,P,,P,,,,,,,,10,10
Jimmy Blount,84,,12,,10,15,10,10,12,,,,15,,,,,
Richard Bush,10,,,,,,,,,10,,,,P,,,,
Michael Daly,48,,8,,,,8,,,,,,12,,20,,,
Joe Day,20,,10,,,10,,,,,,,,,,,,
John DiCarlo,185,20,15,,15,,15,20,,20,20,20,,10,,15,15,
Louis Dwyer,54,,,,,,,12,,12,,15,,15,,,,
Randy Hawthorne,38,,,,8,8,P,,10,,,,,,,,,12
Richard Hildreth,16,,,,,P,,P,,8,,,,8,,,,
John Munday,52,,,,,,,P,P,P,15,12,10,P,15,,,P
Rick Platt,36,,,,,,P,8,8,,,,,,,12,8,
Ernest Schillinger,,,,,,,,,,,,,,,,,,
Stephen Scudder,26,,P,,P,P,P,P,P,P,10,,8,P,,,P,8
Joseph Verdirame,152,,,,12,12,12,15,15,15,12,,20,12,,,12,15
,,,,,,,,,,,,,,,,,,
Women 19 and under,Total,DS 15 Miler,Heart 10 Miler,Colonial Half,Queens Lake 5K,Yorktown 10K,DOG 5K,ERR 10K,Freedom 8K,Scholarship 5K,Strider Mile,Strider 10 Miler,Jamestown 10K,XC Classic 5K,Yorktown 10 Miler,Piankatank 5K,Gov's Land 5K,Haiti 5K
Cannon Jean,110,,,,20,20,20,20,15,,,,,,,,15,
Sorenna Jean,55,,,,,,,15,20,,,,,,,,20,
Lydia Short,27,,,,,,15,,,,,,,,,,12,
,,,,,,,,,,,,,,,,,,
Women 20-24,,,,,,,,,,,,,,,,,,
Svetlana Goncharova,220,,20,20,20,20,,20,20,,,,20,,20,20,20,20
,,,,,,,,,,,,,,,,,,
Women 25-29,,,,,,,,,,,,,,,,,,
Sonyalee Salmon,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Women 30-34,,,,,,,,,,,,,,,,,,
Kasey Dunn,,,,,,,,,,,,,,,,,,
Erin Gedicke,42,,15,15,12,,,,,,,,,,,,,
Emily Honeycutt,130,,,,15,15,15,15,15,,,,15,,,,20,20
Maria Spady,20,,,,,,,,,,,,,,20,,,
Bethany Spector,220,,20,20,20,20,20,20,20,20,20,20,20,,,,,
,,,,,,,,,,,,,,,,,,
Women 35-39,,,,,,,,,,,,,,,,,,
Jessica Anderson,122,,,,12,20,20,15,,,,,20,,20,,15,
Megan Doty,,,,,,,,,,,,,,,,,,
Karen Grabowski,60,,20,,20,,,,,,,,,,,,20,
Maryanne Lee,184,,12,,10,15,,12,20,,20,20,,20,15,20,,20
Anna MacLeod,30,,15,,15,,,,,,,,,,,,,
Ann Mazur,,,,,,,,,,,,,,,,,,
Renee Merchant,40,,,,,,,20,,20,,,,,,,,
Rachel Novakoski,45,20,,,,,,10,,,,,,15,,,,
,,,,,,,,,,,,,,,,,,
Women 40-44,Total,DS 15 Miler,Heart 10 Miler,Colonial Half,Queens Lake 5K,Yorktown 10K,DOG 5K,ERR 10K,Freedom 8K,Scholarship 5K,Strider Mile,Strider 10 Miler,Jamestown 10K,XC Classic 5K,Yorktown 10 Miler,Piankatank 5K,Gov's Land 5K,Haiti 5K
Amanda Collier,129,,20,20,12,20,,12,15,,,,,,15,,,15
Michelle Hooper,205,,,,,,15,15,20,15,20,20,20,20,20,20,,20
Kerry Johnson,20,,,,,,,20,,,,,,,,,,
Jenny Moran,60,20,,,20,,,,,20,,,,,,,,
Daphne Papaefthimiou,55,,,,15,,20,,,,,,,,,,20,
Jennifer St. Martin,10,,,,,,,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Women 45-49,,,,,,,,,,,,,,,,,,
Kristi Chiles,65,15,15,15,12,,,8,,,,,,,,,,
Susan Hagel,230 (255),20,20,,15,20,20,10,20,15,15,,20,,20,20,20,20
Kimberly Hague,27,,,12,,,,,,,,15,,,,,,
Julie Hicks,80,,,,,,,20,,20,20,,,20,,,,
Wendy Rafferty,106,,,,20,,,12,,12,12,20,,15,,,,15
Kelly Russo,35,,,20,,,,15,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Women 50-54,,,,,,,,,,,,,,,,,,
Jami Callahan-Brill,142,,12,15,20,20,20,,,,,,20,,15,,20,
Jennifer Cornette,65,,15,,,,,15,,15,,,,,,,,20
Susan Davis,39,,,12,,,,,,12,,15,,,,,,
Christie Ireland,,,,,,,,,,,,,,,,,,
Criztina Jean,92,,,,15,15,15,12,20,,,,,,,,15,
Kirsten Kelly,180,20,20,20,,,,20,,20,20,20,,20,20,,,
Teresa Markley,155 (179),,8,,10,10,12,8,12,8,15,12,12,15,10,20,12,15
Marie Price,147 (167),,10,,12,12,10,10,15,10,12,,15,12,12,15,10,12
,,,,,,,,,,,,,,,,,,
Women 55-59,Total,DS 15 Miler,Heart 10 Miler,Colonial Half,Queens Lake 5K,Yorktown 10K,DOG 5K,ERR 10K,Freedom 8K,Scholarship 5K,Strider Mile,Strider 10 Miler,Jamestown 10K,XC Classic 5K,Yorktown 10 Miler,Piankatank 5K,Gov's Land 5K,Haiti 5K
Carla Cline,55,,,,,,,8,,12,,20,,,15,,,
Victoria Estes,37,,,,10,,15,,12,,,,,,,,,
Karla Havens,,,,,,,,,,,,,,,,,,
Valor Foy Jones,87,,,,,,,15,20,,,,20,,12,,,20
Susan Kreider,80,20,,,,,,20,,20,,,,20,,,,
Maria Peters,85,,,20,20,,,10,,,,,15,,20,,,
Deelyn Robinson,0,,,,P,P,P,,P,,,,P,,,,P,
Lori Sherwood,101,,20,,12,,20,P,15,10,,12,,12,,,,
Elise Walton,72,,,,15,,,12,,15,,15,,15,,,,
,,,,,,,,,,,,,,,,,,
Women 60-64,,,,,,,,,,,,,,,,,,
Gail Biermann,134,,15,12,,,,12,,20,20,20,,20,15,,,
Tammi Clarke,15,,,15,,,,,,,,,,,,,,
Thea Ganoe,36,,,,,,,,,,,,,,12,12,,12
Norma Phillips,240,,20,20,20,20,20,20,20,,,,20,,20,20,20,20
Connie McKeon,61,,12,,,,12,10,12,15,,,,,,,,
Shirley Stephens,135,,,,15,15,15,15,15,,,,15,,,15,15,15
,,,,,,,,,,,,,,,,,,
Women 65-69,,,,,,,,,,,,,,,,,,
Nancy Atlee,34,,,,10,12,,P,,,,,,,,12,,
Martha Gullo,143,,,20,15,20,,8,15,10,15,,,,,15,15,10
Carol Hansen-Vessa,32,,,,,,,,,,,,,,,,20,12
Michelle Moore,8,,,,,,,P,,8,,,,,,,,
Jean Phelan,142,,,,,,,12,,15,20,20,15,20,20,,,20
Karen Schenck,42,,,,12,15,15,P,,,,,,,,,,
Susan Snead,40,,,,,,,20,,20,,,,,,,,
Debra Sommer,37,,,,,,,10,,12,,,,15,,,,
Helen Worthington,165,,20,,20,,20,15,20,,,,20,,15,20,,15
,,,,,,,,,,,,,,,,,,
Women 70 and over,,,,,,,,,,,,,,,,,,
Barbara Biasi,50,,,,,,,,15,,,,,,,20,,15
Betty Brothers,100,,,,,,,20,,20,20,20,,20,,,,
Virginia Davis,97,,15,15,15,,,10,12,15,,,15,,,,,
Barbara Mathewson,30,,,,,,,15,,,,15,,,,,,
Bunny May,52,,,,12,,15,,10,,,,,,,15,,
Patricia Travis,212,,20,20,20,20,20,12,20,,,,20,,20,,20,20
