,Total,DS 15 Miler,Heart 10 Miler,Colonial Half,Queens Lake 5K,Yorktown 10K,DOG 5K,ERR 10K,Freedom 8K,Scholarship 5K,Strider Mile,Strider 10 Miler,Jamestown 10K,XC Classic 5K,Yorktown 10 Miler,Piankatank 5K,Gov's Land 5K,Haiti 5K
Seth Kolosso,15,15 - 1:22:39,,,,,,,,,,,,,,,,
Isaac Lamprecht,10,,,,17:58,39:20,10 - 17:36,,,,,,,,,,,
Chris Laws,20,,1:12:31,1:36:47,,,19:25,8 - 40:04,32:01,,,,,,12 - 1:06:12,,18:55,
Braxton Lee,0,,1:36:14,2:10:10,26:47,59:31,,58:34,40:49,29:17,6:44.9,1:40:02,,,1:25:05,22:59,,23:15
Bryton Lee,0,,,,29:59,,,,57:53,40:39,7:15.4,,,31:01,,27:33,,25:09
Jon Leiding,18,1:47:12,1:09:02,1:31:12,,41:37,19:30,41:03,33:29,22:44,8 - 6:17.8,,,10 - 20:47,1:08:47,,,
Frank Leone,,,,,,,,,,,,,,,,,,
David Lockard,0,,,,,,,,,,,,,,,,,31:02
Greg Lynn,60 (68),,10 - 1:05:04,8 - 1:29:34,19:02,40:19,18:27,47:45,10 - 31:29,10 - 21:43,,,8 - 41:01,,10 - 1:06:36,12 - 18:49,18:50,
John Markley,0,,2:20:48,,38:10,1:18:01,35:56,1:19:52,59:31,45:44,10:55.3,2:23:05,1:22:48,41:22,,38:52,37:32,36:44
James Martin,0,,,,,,,,,30:14,,,,,,,,
Peter Mercredi,,,,,,,,,,,,,,,,,,
Jason Miller,32,,1:10:04,10 - 1:26:28,,,19:55,10 - 39:48,,,,,12 - 40:00,,,,18:59,
John Munday,0,,,,,,,1:21:20,59:35,43:22,11:36.6,2:24:41,1:23:08,43:16,2:19:53,,,40:59
William Murray,,,,,,,,,,,,,,,1:43:17,,22:34,
Grant Neely,0,,,,,,,,,,,1:50:46,,,,,,
Frank Nixon,0,,1:33:40,,24:02,,44:02,49:48,41:35,,,,,,,,,
